State,2016 Unemployment,2012 Unemployment,2016 Margin,2012 Margin,Median Income All 2012,Median Income White 2012,Median Income Black 2012,Median Income Native American 2012,Median Income Asian 2012,Median Income Pacific Islander 2012,Median Income Other 2012,Median Income Two Or More 2012,Median Income Hispanic or Latino 2012,Median Income All 2016,Median Income White 2016,Median Income Black 2016,Median Income Native American 2016,Median Income Asian 2016,Median Income Pacific Islander 2016,Median Income Other 2016,Median Income Two Or More 2016,Median Income Hispanic or Latino 2016,Households White,Households Black,Households Native American,Households Asian,Households Pacific Islander,Households Other,Households Two Or More,Households Hispanic or Latino
Alabama,6,8,-27.72,-22.19,41574,48649,27493,35000,55055,41500,31664,30323,31937,46257,52104,31617,50116,61413,26320,39464,44843,40236,1296762.6,489064.752,9262.59,20377.698,0,16672.662,20377.698,48165.468
Alaska,6.6,7.1,-14.73,-13.99,67712,74573,42825,42556,56473,51342,48775,52321,51396,76440,82684,60363,47824,79048,63465,76260,62811,64200,182127.044,0,29816.16,11677.996,0,0,13168.804,11677.996
Arizona,5.3,8.3,-3.5,-9.03,47826,50071,38426,31014,62633,48304,35258,40139,36828,53558,56051,41842,34813,69816,54875,41354,51405,43657,2042951.172,103281.132,80609.664,75571.56,0,156181.224,57938.196,574343.856
Arkansas,4,7.6,-26.92,-23.69,40112,42740,25256,33419,53099,28495,33332,37381,33131,44334,48056,30939,41567,63539,28882,36670,36441,37186,903889.938,174835.854,6856.308,12569.898,0,21711.642,20568.924,55993.182
California,5.4,10.4,29.99,23.09,58328,61419,41275,40116,74715,57184,41755,54464,44401,67739,71225,46232,47489,86647,74278,50026,68734,52403,8452548.234,815483.214,90609.246,1760408.208,38832.534,1359138.69,427157.874,3753811.62
Colorado,3.3,7.9,4.91,5.36,56765,59255,39941,37286,63755,51915,33589,46639,39223,65685,67825,48058,37119,70370,42216,48463,58131,49201,1839041.024,78032.704,18980.928,54833.792,0,67487.744,46397.824,335329.728
Connecticut,5.1,8.3,13.64,17.34,67276,72469,38051,39580,91168,51686,33570,53018,36756,73433,80474,43236,42841,89946,N,42463,53715,46808,1088529.738,134369.631,0,50218.953,0,54290.76,25788.111,171015.894
Delaware,4.4,7.2,11.38,18.63,58415,61824,45453,32218,83656,-,53653,42479,45690,61757,66664,44663,44904,84307,N,35409,40099,47478,256643.135,70919.17,0,12287.975,0,0,0,23171.61
Florida,4.9,8.5,-1.19,0.87,45040,47731,32218,39778,59503,45760,36644,39109,37915,50860,53072,37553,43893,67059,47226,41865,47221,44042,6066338.256,1045136.928,15146.912,166616.032,0,151469.12,121175.296,1522264.656
Georgia,5.4,9.2,-5.09,-7.8,47209,54595,34717,31383,65321,N,30288,40237,35951,53559,61005,41337,28548,75632,N,41354,57396,46389,2278031.43,1142701.85,11058.405,125328.59,0,73722.7,55292.025,239598.775
